,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,1.5,1473.15,54.59,1.91,15.24,3.91,6.35,8.49,0.0,1.88,0.0,0.0,41.08,23.22,35.17,0.0,726.0
1,1.0,1523.0,75.7,0.12,12.9,0.67,0.0,0.56,0.0,4.0,4.72,0.0,63.53,0.0,36.47,0.0,181.0
2,0.0,1623.15,60.8,0.0,11.5,8.6,14.6,2.32,0.09,2.5,0.0,0.0,21.9,46.5,31.3,0.0,410.0
3,0.0,1518.15,51.54,0.62,17.16,7.37,9.05,11.25,0.0,2.13,0.13,0.0,6.14,72.58,21.28,0.01,112.0
4,1.0,1543.0,55.98,0.59,17.28,5.71,5.03,11.5,0.0,1.72,0.08,1.38,62.7,0.0,35.93,1.37,637.0
5,0.5,1523.0,60.6,0.8,16.3,8.23,2.01,5.73,0.0,4.0,1.99,0.0,63.53,0.0,36.47,0.0,673.0
6,1.0,1523.0,59.1,0.8,15.9,8.5,1.97,5.67,0.0,4.06,1.97,0.0,63.53,0.0,36.47,0.0,707.0
7,0.0,1573.15,47.5,0.0,16.5,5.3,9.85,18.5,0.0,0.0,0.0,0.0,4.3,74.6,22.2,0.0,320.0
8,1.5,1673.15,52.84,1.48,18.8,4.43,3.7,4.42,0.0,7.96,3.29,0.0,58.49,2.06,36.8,2.66,712.0
9,0.0,1623.15,59.5,0.0,13.2,8.2,14.4,2.62,0.04,2.76,0.0,0.0,42.2,24.0,34.7,0.0,470.0
10,1.0,1523.0,52.64,0.75,17.43,5.82,7.21,10.48,0.0,2.6,0.82,0.0,62.69,0.0,35.92,1.4,776.0
11,1.0,1523.0,55.02,1.02,17.54,1.81,8.21,10.85,0.0,2.69,0.99,0.0,7.29,63.57,29.29,1.45,457.0
12,0.0,1623.15,59.6,0.0,14.9,6.8,13.6,3.1,0.02,2.61,0.0,0.0,43.9,21.8,33.9,0.0,600.0
13,1.0,1523.0,75.3,0.11,12.9,0.67,0.0,0.54,0.0,3.85,4.61,0.0,63.53,0.0,36.47,0.0,222.0
14,1.5,2073.15,45.08,0.01,9.95,6.51,19.34,17.17,0.0,0.07,0.0,0.0,3.59,74.29,20.92,0.0,693.6
15,0.0,1518.15,52.47,0.63,16.63,6.92,11.27,10.41,0.0,1.39,0.13,0.0,36.06,34.63,27.19,0.0,460.0
16,1.0,1523.0,60.3,0.76,16.0,8.01,1.95,5.58,0.0,4.13,2.0,0.0,62.3,0.51,35.1,2.33,739.0
17,2.0,1653.15,60.78,0.83,17.38,5.4,3.19,6.09,0.0,4.16,1.2,0.44,63.53,0.0,36.47,0.0,700.0
18,0.0,1518.15,51.49,0.68,16.7,8.11,10.45,10.44,0.0,1.37,0.1,0.0,23.29,48.86,25.56,0.0,426.0
19,1.0,1523.0,62.8,0.52,17.5,4.83,1.71,5.32,0.0,4.13,1.74,6.4,63.53,0.0,36.47,0.0,419.0
20,0.0,1625.15,51.5,0.35,10.53,11.2,17.19,9.33,0.47,0.12,0.02,0.0,20.9,48.1,31.7,0.0,810.0
21,1.0,1723.0,63.6,0.52,17.8,4.68,1.77,5.45,0.0,5.84,1.75,0.0,63.53,0.0,36.47,0.0,786.0
22,0.0,1518.15,53.05,0.69,16.94,7.97,9.81,9.95,0.0,1.09,0.11,0.0,8.58,69.32,22.1,0.0,134.0
23,1.0,1598.0,60.2,0.8,16.0,7.83,1.92,5.59,0.0,4.19,2.02,0.0,63.1,0.98,35.1,1.26,828.0
24,0.0,1518.15,51.86,0.74,18.11,6.04,8.96,11.56,0.0,2.2,0.14,0.0,4.81,74.24,20.94,0.0,136.0
25,2.5,1773.15,49.55,0.67,17.21,8.16,7.76,10.55,0.0,2.64,0.72,0.0,63.53,0.0,36.47,0.0,880.0
