Pressure,T,SiO2,TiO2,Al2O3,FeO,MgO,CaO,NiO,Na2O,K2O,H2O,Fe,Ni+Cu+Co,S,O,SCSS measurement
0.0001,1673.15,61.8,0,13.2,11.9,4,9.2,0,0,0,0,63.53,0,36.47,0,1580
0.0001,1673.15,64.9,0,13.8,7.5,4.1,9.7,0,0,0,0,63.53,0,36.47,0,1106
0.0001,1673.15,66.9,0,15.1,2.99,4.7,10.3,0,0,0,0,63.53,0,36.47,0,920
0.0001,1673.15,52.7,1.3,15.3,10.2,7.6,12.4,0,0,0,0,63.53,0,36.47,0,1964
0.0001,1673.15,52.5,1.3,15.2,10.2,7.7,12.4,0,0,0,0,63.53,0,36.47,0,1995
0.0001,1673.15,52.8,1.3,15.3,9.4,7.7,12.5,0,0,0,0,63.53,0,36.47,0,1856
0.0001,1673.15,55.5,1.4,16.1,5.2,8.1,13.3,0,0,0,0,63.53,0,36.47,0,1625
0.0001,1673.15,56.1,1.4,17.2,2.5,8.7,13.5,0,0,0,0,63.53,0,36.47,0,1883
0.0001,1673.15,53.7,1.4,15.5,8.7,7.9,12.7,0,0,0,0,63.53,0,36.47,0,1904
0.0001,1673.15,55.3,1.4,16.9,3.7,8.7,13.5,0,0,0,0,63.53,0,36.47,0,1683
0.0001,1673.15,53.9,2.3,13.9,11.7,8.6,9.3,0,0,0,0,63.53,0,36.47,0,2126
0.0001,1673.15,54,2.3,13.9,11.4,8.5,9.3,0,0,0,0,63.53,0,36.47,0,2220
0.0001,1673.15,54.2,2.3,13.9,11.3,8.6,9.4,0,0,0,0,63.53,0,36.47,0,2181
0.0001,1673.15,57.3,2.4,14.7,5.6,9,9.9,0,0,0,0,63.53,0,36.47,0,1588
0.0001,1673.15,58.6,2.5,16,2.6,9.9,10.2,0,0,0,0,63.53,0,36.47,0,1639
0.0001,1673.15,55.7,2.4,14.3,9.3,8.9,9.7,0,0,0,0,63.53,0,36.47,0,1737
0.0001,1673.15,57.6,2.4,15.7,3.9,9.8,10.2,0,0,0,0,63.53,0,36.47,0,1567
0.0001,1673.15,52.5,0,15.3,11.4,11.4,9,0,0,0,0,63.53,0,36.47,0,2126
0.0001,1673.15,52.6,0,15.4,11.1,11.5,9,0,0,0,0,63.53,0,36.47,0,2090
0.0001,1673.15,52.5,0,15.4,11.2,11.5,8.9,0,0,0,0,63.53,0,36.47,0,2131
0.0001,1673.15,53,0,15.5,11.2,11.6,9.1,0,0,0,0,63.53,0,36.47,0,2054
0.0001,1673.15,55.9,0,16.3,5.5,12,9.7,0,0,0,0,63.53,0,36.47,0,1576
0.0001,1673.15,56.9,0,17.5,2.6,13.1,9.9,0,0,0,0,63.53,0,36.47,0,1711
0.0001,1673.15,53.6,0,15.7,9.2,11.7,9.2,0,0,0,0,63.53,0,36.47,0,1785
0.0001,1673.15,55.9,0,17.4,3.7,12.8,9.9,0,0,0,0,63.53,0,36.47,0,1528
0.0001,1673.15,60,0,11.2,10.1,12.4,6.3,0,0,0,0,63.53,0,36.47,0,1480
0.0001,1673.15,59.7,0,11.1,9.9,12.2,6.2,0,0,0,0,63.53,0,36.47,0,1477
0.0001,1673.15,60.4,0,11.2,9.7,12.4,6.3,0,0,0,0,63.53,0,36.47,0,1417
0.0001,1673.15,62.9,0,11.6,5.7,12.7,6.6,0,0,0,0,63.53,0,36.47,0,1374
0.0001,1673.15,64,0,12.6,2.7,13.8,6.8,0,0,0,0,63.53,0,36.47,0,1433
0.0001,1673.15,60.4,0,11.2,9.6,12.4,6.3,0,0,0,0,63.53,0,36.47,0,1552
0.0001,1673.15,63,0,12.4,3.9,13.5,6.7,0,0,0,0,63.53,0,36.47,0,1306
0.0001,1673.15,41.5,14.2,8.5,13.5,10.7,11.2,0,0,0,0,63.53,0,36.47,0,4900
0.0001,1673.15,41.7,14.1,8.5,13.4,10.8,11.2,0,0,0,0,63.53,0,36.47,0,4960
0.0001,1673.15,41.6,14.1,8.5,13.5,10.7,11.2,0,0,0,0,63.53,0,36.47,0,5027
0.0001,1673.15,41.8,14.2,8.4,13.2,10.7,11.3,0,0,0,0,63.53,0,36.47,0,4787
0.0001,1673.15,44.5,15.1,9.1,6.8,11.3,12,0,0,0,0,63.53,0,36.47,0,3999
0.0001,1673.15,45.5,15.3,9.9,3.5,12.4,12.4,0,0,0,0,63.53,0,36.47,0,4637
0.0001,1673.15,40.9,13.8,8.3,14.5,10.6,11,0,0,0,0,63.53,0,36.47,0,4665
0.0001,1673.15,42.6,14.5,8.8,10.8,11,11.5,0,0,0,0,63.53,0,36.47,0,4226
0.0001,1673.15,44.7,15.3,9.8,4.7,12.3,12.4,0,0,0,0,63.53,0,36.47,0,4012
0.5,1673.15,52,2.13,17.68,8.4,7.3,10.18,0,1.34,0.97,0,63.53,0,36.47,0,1640
1.5,1673.15,51.8,2.5,17.7,8.6,7.3,9.94,0,1.22,0.9,0,63.53,0,36.47,0,1220
0.5,1673.15,50.42,1.8,16.92,9.95,7.06,9.66,0,2.45,0.79,0,63.53,0,36.47,0,1725
1.5,1673.15,47.62,1.76,17.88,10.17,6.73,9.52,0,2.71,0.85,0,63.53,0,36.47,0,1380
0.5,1773.15,50.79,1.81,16.5,8.68,6.84,8.86,0,2.1,0.68,0,63.53,0,36.47,0,1800
1.5,1773.15,51.34,1.57,17.62,9.8,7.44,9.29,0,2.93,0.8,0,63.53,0,36.47,0,1570
2.5,1773.15,49.55,0.67,17.21,8.16,7.76,10.55,0,2.64,0.72,0,63.53,0,36.47,0,880
0.5,2073.15,50.22,1.72,17.07,10.71,7.25,9.33,0,2.64,0.8,0,63.53,0,36.47,0,2955
4,2073.15,50.58,1.71,17.04,10.88,7.56,9.16,0,2.92,0.75,0,63.53,0,36.47,0,1855
9,2073.15,49.35,1.66,16.6,6.27,10.39,10.68,0,2.23,0.6,0,63.53,0,36.47,0,615
3.5,2073.15,50.91,1.65,17.23,9.31,7.58,10.15,0,2.09,0.56,0,63.53,0,36.47,0,1875
5.5,2073.15,50.2,1.6,17.21,10.22,7.4,10.11,0,1.9,0.9,0,63.53,0,36.47,0,1335
0.5,1773.15,47.66,1.77,10.74,12.2,16.87,8.51,0,1.79,0.34,0,63.53,0,36.47,0,4010
1.5,1773.15,47.34,1.78,9.48,15.56,15.68,8.45,0,1.5,0.33,0,63.53,0,36.47,0,3125
1.5,1773.15,48.55,1.64,10.47,11.47,17.01,8.35,0,1.51,0.34,0,63.53,0,36.47,0,2750
1,2073.15,47.07,0.9,9.92,15.49,15.18,8.83,0,1.89,0.37,0,63.53,0,36.47,0,3370
4,2073.15,48.88,0.71,10.54,11.57,16.31,9.76,0,1.71,0.39,0,63.53,0,36.47,0,1650
1,1703,59.3,0.82,15.9,8.24,1.96,5.58,0,4.07,1.96,0,63.5,0.329,34.3,1.77,1070
1,1673,60.5,0.79,16.2,7.94,1.97,5.57,0,4.21,2.01,0,63.53,0,36.47,0,1002
1,1623,59.9,0.75,16.2,8.43,2.02,5.7,0,4.17,1.96,0,63.2,0.21,35.1,0.87,1055
1,1598,60.2,0.8,16,7.83,1.92,5.59,0,4.19,2.02,0,63.1,0.978,35.1,1.26,828
1,1573,60,0.83,15.9,8.06,2.02,5.63,0,4.06,2,0,63.1,0.627,34.2,2.22,768
0.5,1523,59.6,0.85,16,8.4,1.94,5.44,0,3.93,2,0,63.53,0,36.47,0,726
0.5,1523,60.6,0.8,16.3,8.23,2.01,5.73,0,4,1.99,0,63.53,0,36.47,0,673
1,1523,60.3,0.76,16,8.01,1.95,5.58,0,4.13,2,0,62.3,0.506,35.1,2.33,739
1,1523,59.7,0.8,15.9,8.25,1.97,5.6,0,4.05,2.01,0,63.53,0,36.47,0,700
1,1523,60.1,0.8,16,8.3,1.98,5.69,0,4.08,2.01,0,63.53,0,36.47,0,737
1,1523,60,0.78,16.1,8.24,1.98,5.43,0,4.13,1.95,0,63.53,0,36.47,0,834
1,1423,58.2,0.8,16,9.14,2.1,5.94,0,4.03,1.89,0,63.53,0,36.47,0,577
1,1523,58.9,0.79,15.9,7.71,1.96,5.57,0,3.95,1.96,3.5,63.53,0,36.47,0,723
1,1423,58.5,0.82,15.9,9.02,2.14,5.8,0,3.13,1.87,2.9,63.53,0,36.47,0,506
1,1423,59.4,0.92,14.4,9.5,2.23,5.14,0,3.76,2.24,2.8,63.53,0,36.47,0,534
1,1723,63.6,0.52,17.8,4.68,1.77,5.45,0,5.84,1.75,0,63.53,0,36.47,0,786
1,1673,63.7,0.52,17.6,4.77,1.7,5.36,0,4.45,1.78,0,63.53,0,36.47,0,697
1,1623,62.1,0.52,17.8,4.59,1.7,5.34,0,5.91,1.8,0,63.53,0,36.47,0,546
1,1573,63.2,0.54,17.8,4.95,1.77,5.44,0,5.17,1.78,0,63.53,0,36.47,0,438
1,1523,64.1,0.61,16.4,5.19,2,4.78,0,4.45,1.98,0,63.53,0,36.47,0,482
1,1523,63.4,0.52,17.7,4.59,1.79,5.46,0,4.43,1.75,0,63.53,0,36.47,0,466
1,1523,62.8,0.52,17.5,4.83,1.71,5.32,0,4.13,1.74,6.4,63.53,0,36.47,0,419
1,1523,63.8,0.54,17.8,4.68,1.63,5.22,0,4.29,1.82,8.5,63.53,0,36.47,0,316
1,1703,47.5,1.7,16.7,9.96,6.18,10.7,0,3.27,1.81,0,63.53,0,36.47,0,2247
1,1673,47.4,1.71,16.6,10.2,6.52,10.8,0,3.3,1.77,0,63.53,0,36.47,0,2520
1,1623,48.2,1.65,16.9,9.81,6.32,10.8,0,3.34,1.82,0,62.3,0.668,35,1.36,1545
1,1573,47.9,1.68,16.6,9.48,6.33,10.9,0,3.29,1.83,0,62.3,0.243,34.9,2.27,1489
1,1523,48.5,1.65,16.7,9.24,6.31,10.8,0,3.36,1.85,0,62.7,0.405,34.8,2.51,1417
0.5,1523,49.4,1.69,17,8.4,6.41,10.9,0,3.38,1.78,0,63.53,0,36.47,0,1386
1,1523,48,1.65,16.8,10,6.25,10.7,0,3.31,1.82,0,63.53,0,36.47,0,1378
1,1523,47.7,1.64,16.8,9.63,6.24,10.5,0,3.32,1.8,0,63.53,0,36.47,0,1378
1,1423,47.7,1.73,17.4,12.1,4.55,7.65,0,4,2.74,0,63.53,0,36.47,0,452
1,1523,47.3,1.64,16.7,9.75,6.01,10.4,0,3.29,1.84,2.8,63.53,0,36.47,0,1231
1,1523,48,1.71,16.9,8.96,6,10.6,0,3.3,1.85,4,63.53,0,36.47,0,663
1,1673,53.1,1.05,18.9,8.77,3.43,7.9,0,3.98,0.97,0,61.7,0.485,34.4,1.77,1968
1,1723,75.7,0.1,13.1,0.79,0.07,0.57,0,5.27,4.73,0,63.53,0,36.47,0,499
1,1673,76.1,0.11,13,0.78,0.07,0.57,0,4,4.68,0,63.53,0,36.47,0,323
1,1623,76.3,0.11,13.2,0.76,0.07,0.56,0,5.32,4.72,0,63.53,0,36.47,0,186
1,1573,77.9,0.11,13,0.71,0.08,0.59,0,3.81,4.61,0,63.53,0,36.47,0,182
1,1523,75.6,0.11,13,0.73,0.07,0.57,0,4.19,4.74,0,63.53,0,36.47,0,172
1,1523,75.5,0.12,12.9,0.73,0.08,0.55,0,4.23,4.62,0,63.53,0,36.47,0,144
1,1523,75.6,0.11,13,0.7,0.07,0.56,0,4.17,4.71,0,63.53,0,36.47,0,155
1,1423,76.6,0.1,12.7,0.87,0.07,0.54,0,3.66,4.67,0,63.53,0,36.47,0,96
1,1423,77.2,0.11,12.9,0.88,0.07,0.53,0,3.83,4.7,0,63.53,0,36.47,0,80
1,1523,72.9,0.1,12.4,1.02,0.07,0.54,0,3.37,4.54,2.9,63.53,0,36.47,0,326
1,1523,73.6,0.1,12.5,0.78,0.07,0.54,0,3.49,4.55,6.1,63.53,0,36.47,0,373
1,1723,46.7,1.64,16.3,12.8,6.13,10.3,0,3.07,1.72,0,63.53,0,36.47,0,2030
1,1673,47,1.6,16.4,12.2,6.05,10.1,0,3.15,1.73,0,63.53,0,36.47,0,2266
1,1623,48,1.66,16.6,10.2,6.21,10.4,0,3.1,1.78,0,63.53,0,36.47,0,1539
1,1523,46.1,1.58,16.2,14.3,5.95,9.97,0,3.05,1.73,0,63.53,0,36.47,0,1786
1,1723,48.6,1.66,16.8,9.43,6.17,10.3,0,3.21,1.8,0,63.53,0,36.47,0,2385
1,1673,44.1,1.53,15.5,16.2,5.76,9.63,0,3.04,1.67,0,63.53,0,36.47,0,3045
1,1623,43.6,1.53,15.3,16.6,5.72,10.2,0,3.05,1.66,0,63.53,0,36.47,0,2951
1,1573,45.7,1.61,16,12.4,6.02,10.8,0,3.14,1.69,0,63.53,0,36.47,0,2253
1,1523,43.8,1.51,15.4,16.3,5.74,10.3,0,3.04,1.6,0,63.53,0,36.47,0,1994
1,1723,52.9,1.31,16.2,4.4,9.72,12,0,2.52,0.1,0,63.53,0,36.47,0,1770
1,1673,50.6,1.27,15.5,8.37,9.33,11.4,0,2.47,0,0,63.53,0,36.47,0,1752
1,1623,50.4,1.24,15.4,9.14,9.12,11.2,0,2.49,0,0,63.53,0,36.47,0,1778
1,1523,50,1.28,16.1,9.9,8.48,11,0,2.59,0,0,63.53,0,36.47,0,1214
1,1723.15,53,0.338,10.8,7.78,17.9,10.1,0.274,0.039,0.043,0,62.2,0.76,35.7,0,1730
1,1723.15,50.4,0.271,8.36,12.3,19.8,7.97,0.308,0.003,0.031,0,62.7,0.59,35.2,0,2300
1,1723.15,50.8,0.274,8.77,12.8,17.9,8.51,0.207,0.057,0.033,0,63.3,0.82,34.6,0,2230
1,1723.15,50.3,0.357,11.1,9.86,16.8,10.4,0.107,0.269,0.051,0,61.2,0.93,36.7,0,1990
1,1723.15,49.7,0.397,12.1,8.76,16.5,11.8,0.091,0.292,0.052,0,60.9,0.92,36.8,0,1910
1,1723.15,50.8,0.329,10.5,9.23,18.4,10.2,0.118,0.229,0.045,0,61.1,1.88,35.7,0,2030
0.9,1773.15,51,0.367,10.1,17.2,10.5,8.99,0.132,0.156,0.035,0,58.8,6.51,34,0,3320
1,1773.15,50,0.247,8.55,12.8,20.7,7.09,0.168,0.186,0.041,0,62,0.74,36.3,0,2910
1,1773.15,50.6,0.28,9.3,10.6,19.9,8.09,0.162,0.205,0.047,0,60.1,1.01,39.4,0,3270
1.4,1773.15,49.2,0.286,9.77,14,17.8,8.16,0.171,0.088,0.036,0,64.4,1.37,32.7,0,2390
2,1773.15,47,0.557,14.2,12.5,9.65,13.9,0.138,0.306,0.1,0,62,0.49,35.8,0,2150
2,1773.15,47.1,0.497,14.5,9.87,12.6,13.3,0.125,0.241,0.075,0,59.5,1.15,38.6,0,1940
2.4,1773.15,50,0.209,9.66,5.92,22.6,10.8,0.293,0.236,0.004,0,62.3,0.37,36.7,0,1610
2.5,1773.15,50.8,0.126,6.95,8.93,22.2,10,0.287,0.049,0,0,61.9,0.93,35.3,0,2060
2.7,1773.15,47.7,0.211,14.6,6.11,22.4,8.47,0.416,0.135,0,0,61.5,0.43,37.5,0,1740
1,1623.15,44.7,0,16.2,11.9,8.08,16.8,0.033,0,0,0,60.7,1.56,36.8,0,1690
1,1673.15,44.8,0,17.8,11.9,6.25,17.6,0.018,0,0,0,59.6,2.22,36.3,0,1810
1,1723.15,47,0,10.6,8.63,16.4,16.7,0,0,0,0,57.3,5.81,34.5,0,2050
1,1798.15,46.4,0,10.1,9.27,19.7,14,0.015,0,0,0,54.7,9.04,34,0,2660
1,1873.15,47.8,0,11.1,11.2,11.8,17.1,0.031,0,0,0,61.3,0.88,35.8,0,2960
1,1873.15,42.2,0,13.4,12.6,22.1,8.72,0.011,0,0,0,58.5,3.79,36.9,0,2870
1,1723.15,46.3,0,12,7.06,17.2,16.5,0,0,0,0,59.7,1.46,36.5,0,2170
1,1723.15,51.7,0.562,13.5,7.93,13.8,8.15,0.015,3.17,0.765,0,60.8,0.41,36.2,0,1500
1,1723.15,50.8,2.12,7.79,8.37,14.5,4.16,0.051,0.729,8.39,0,60.4,2.48,35.4,0,2130
1.5,1473.15,51.54,1.92,15.46,11.71,4.57,7.99,0,2.98,0,0,46.06,19.75,34.01,0,768
1.5,1523.15,50.79,1.79,14.67,10.75,6.19,8.83,0,2.66,0,0,50.12,14.61,34.29,0,912
1.5,1473.15,54.59,1.91,15.24,3.91,6.35,8.49,0,1.88,0,0,41.08,23.22,35.17,0,726
0.0001,1473.15,45.64,5.26,8.56,15.85,8.93,11.72,0,1.46,0.68,0,62.71,1.96,32.21,2.38,2932
0.0001,1473.15,48.43,5.56,8.75,11.78,9.19,11.96,0,1.59,0.93,0,61.94,2.02,33.05,1.85,2267
0.0001,1473.15,51.67,6.09,9.57,5.89,9.76,12.15,0,1.79,1.13,0,59.82,1.85,36.83,0,1284
0.0001,1473.15,47.51,5.56,8.89,11.27,9.51,12.09,0,1.78,1.07,0,61.46,1.95,33.4,2.14,2104
0.0001,1473.15,50.86,6.33,10.39,4.76,11.02,12.77,0,1.09,0.58,0,59.12,1.52,38.14,0,1256
0.0001,1473.15,42.63,5.31,8.58,18.61,7.61,11.89,0,1.49,0.77,0,63.28,1.63,30.85,3.82,3798
0.0001,1473.15,40.72,4.92,8.19,21.97,8.01,11.09,0,1.58,0.89,0,63.48,1.46,29.05,6.39,4605
0.0001,1473.15,50.37,5.59,9.34,8.18,9.82,12.03,0,1.49,0.99,0,60.32,1.99,36.69,0,1615
0.0001,1473.15,46.49,5.39,8.57,13.79,8.74,11.91,0,1.63,1.01,0,61.93,2.05,32.34,2.07,2716
0.0001,1473.15,39.97,4.84,8.02,23.42,7.61,10.93,0,1.78,0.94,0,48.79,15.57,32.19,2.88,5136
0.0002,1473.15,44.68,5.09,8.48,17.84,8.94,11.34,0,1.49,0.77,0,62.27,1.74,30.7,4.54,3349
0.0002,1473.15,49.56,5.69,8.74,9.97,9.73,11.99,0,1.79,1.06,0,47.49,16.14,34.79,0,1778
1,1523,49.9,1.38,16.6,10.5,7.8,10.8,0,2.71,0.12,0.9,63.53,0,36.47,0,1180
1,1523,49.8,1.31,15.8,10.1,8.6,11.2,0,2.48,0.09,0.7,63.53,0,36.47,0,1246
1,1523,50.2,1.26,15.4,9,9.1,11.5,0,2.39,0.1,2.6,63.53,0,36.47,0,1248
1,1523,49.6,1.33,14.9,8.1,8.6,11.3,0,2.2,0.09,5.9,63.53,0,36.47,0,1765
1,1523,48.9,1.31,14,9.6,8.8,11.3,0,2.32,0.09,2.8,63.53,0,36.47,0,1409
1,1523,49.7,1.41,16.1,10.3,7.8,10.8,0,2.65,0.1,0,63.53,0,36.47,0,1218
1,1523,59.1,0.8,15.9,8.5,1.97,5.67,0,4.06,1.97,0,63.53,0,36.47,0,707
1,1523,58.9,0.8,15.6,7.9,1.92,5.54,0,3.97,1.97,4.4,63.53,0,36.47,0,776
1,1523,59,0.79,15.6,7.8,1.93,5.54,0,3.91,1.94,2.1,63.53,0,36.47,0,615
1,1523,58.5,0.78,15.4,7.7,1.9,5.41,0,3.74,1.92,4.1,63.53,0,36.47,0,1094
1,1523,58.3,0.82,15.4,7.7,1.88,5.4,0,3.65,1.87,4.6,63.53,0,36.47,0,1167
1,1523,58,0.79,15.3,7.7,1.88,5.4,0,3.52,1.73,7.3,63.53,0,36.47,0,1265
1,1523,75.7,0.12,12.9,0.67,0,0.56,0,4,4.72,0,63.53,0,36.47,0,181
1,1523,75.3,0.11,12.9,0.67,0,0.54,0,3.85,4.61,0,63.53,0,36.47,0,222
1,1523,75,0.11,12.8,0.85,0,0.55,0,3.83,4.58,0,63.53,0,36.47,0,181
1,1523,75.7,0.12,13,0.59,0,0.55,0,3.99,4.75,0,63.53,0,36.47,0,143
1,1523,73.9,0.1,12.6,0.81,0,0.54,0,3.57,4.35,3.4,63.53,0,36.47,0,480
1,1523,72.6,0.1,12.3,0.97,0,0.55,0,3.37,4.02,4.2,63.53,0,36.47,0,595
1.6,1628.15,47.4,0.73,18.1,8.6,11.2,11,0.03,2.4,0,0,63.53,0,36.47,0,1400
1.6,1628.15,47.9,0.68,18.2,7,12.1,11.4,0.05,2.3,0,0,63.53,0,36.47,0,1300
1.6,1628.15,47.7,0.72,18.2,8.2,11.4,11.1,0.04,2.4,0,0,63.53,0,36.47,0,1400
1.6,1628.15,47.9,0.74,18.3,7.9,11.5,11.4,0.05,2.4,0,0,63.53,0,36.47,0,1400
1.6,1628.15,47.5,0.72,18,8.3,11.5,10.9,0.04,2.4,0,0,63.53,0,36.47,0,1500
1.6,1628.15,47.1,0.68,17.8,8.2,12.6,10.7,0.08,2.1,0,0,63.53,0,36.47,0,1800
1.6,1628.15,47.6,0.69,17.9,7.8,12.6,11,0.06,2.2,0,0,63.53,0,36.47,0,1600
1.6,1628.15,47.7,0.72,18.5,8.2,10.9,11.3,0.02,2.5,0,0,63.53,0,36.47,0,1400
1.1,1588.15,49,0.67,18.3,4.9,11.9,12.1,0.06,2.6,0,0,63.53,0,36.47,0,1100
1.2,1588.15,48,0.61,18.4,5.1,12.6,11.5,0.09,1.78,0,0,63.53,0,36.47,0,1500
1,1573.15,47.1,0.7,17.7,8.7,11.9,10.8,0.07,2.21,0,0,63.53,0,36.47,0,1600
1,1573.15,50.1,0.71,17.4,5.2,11.6,11.9,0.11,2.6,0,0,63.53,0,36.47,0,1100
1,1573.15,50.1,0.73,18,5.3,11.1,11.6,0.12,2.52,0,0,63.53,0,36.47,0,1100
0.0001,1518.15,51.4,0.66,17.13,7.47,8.86,10.75,0,2.1,0.13,0,13.29,63.41,22.51,0.007518588,182
0.0001,1518.15,51.98,0.71,17.99,6.39,8.65,11.1,0,1.88,0.15,0,13.85,61.46,24.56,0.00281947,163
0.0001,1518.15,52.02,0.7,17.49,7.44,10.17,10.86,0,1.96,0.13,0,9.02,68.3,22.48,0.011277882,151
0.0001,1518.15,51.72,0.69,17.35,7.96,8.36,10.93,0,1.97,0.14,0,2.16,77.48,20.36,0.00281947,90
0.0001,1518.15,53.05,0.69,16.94,7.97,9.81,9.95,0,1.09,0.11,0,8.58,69.32,22.1,0.00281947,134
0.0001,1518.15,50.48,0.63,16.88,6.68,10.82,10.46,0,1.9,0.12,0,8.5,68.57,22.42,0.000939823,180
0.0001,1518.15,51.83,0.72,17.03,7.32,9.02,11.32,0,2.14,0.14,0,5.15,72.5,22.67,0.011277882,121
0.0001,1518.15,51.54,0.62,17.16,7.37,9.05,11.25,0,2.13,0.13,0,6.14,72.58,21.28,0.011277882,112
0.0001,1518.15,51.86,0.74,18.11,6.04,8.96,11.56,0,2.2,0.14,0,4.81,74.24,20.94,0.004699117,136
0.0001,1518.15,52.26,0.59,16.84,7.42,8.82,10.3,0,1.95,0.12,0,9.21,67.48,22.21,0.009398235,194
0.0001,1518.15,52.26,0.59,16.84,7.42,8.82,10.3,0,1.95,0.12,0,9.91,67.5,22.42,0.001879647,170
0.0001,1518.15,51.59,0.62,15.78,8.28,11.1,10.04,0,1.35,0.13,0,11.47,63.56,24.97,0.004699117,271
0.0001,1518.15,51.64,0.62,16.27,7.94,11.07,10.31,0,1.77,0.15,0,11.89,64.9,23.06,0.00281947,267
0.0001,1518.15,51.67,0.62,16.25,7.7,11.18,10.31,0,1.7,0.16,0,16.3,58.66,24.81,0.00281947,350
0.0001,1518.15,54.4,0.65,16.9,4.69,12.03,10.57,0,1.03,0.11,0,57.86,9.05,30.06,0.00281947,592
0.0001,1518.15,54.86,0.61,15.43,5.71,11.92,9.36,0,1.28,0.09,0,37.06,32.2,28.3,0.00281947,288
0.0001,1518.15,52.47,0.63,16.63,6.92,11.27,10.41,0,1.39,0.13,0,36.06,34.63,27.19,0.00281947,460
0.0001,1518.15,51.94,0.67,16.93,7.44,10.65,10.49,0,1.62,0.13,0,26.92,43.29,28.91,0.004699117,477
0.0001,1518.15,51.49,0.68,16.7,8.11,10.45,10.44,0,1.37,0.1,0,23.29,48.86,25.56,0.001879647,426
0.0001,1518.15,51.75,0.65,16.2,7.15,11.15,10.36,0,1.65,0.13,0,18.36,54.81,26.05,0.001879647,365
0.0001,1518.15,51.76,0.65,16.86,7.81,10.79,10.42,0,1.5,0.12,0,26.19,44.93,27.45,0.001879647,589
0.0001,1518.15,51.94,0.69,17.13,7.9,10.54,10.44,0,1.46,0.11,0,26.5,44.64,28.86,0.001879647,477
0.0001,1623.15,69.9,0,11.3,9.1,13.5,2.5,0.13,2.4,0,0,13.3,58.6,28.8,0,310
0.0001,1623.15,61.6,0,11.7,7.9,13.2,2.34,0.116,3.2,0,0,14.9,56.3,29.6,0,280
0.0001,1623.15,60.8,0,11.5,8.6,14.6,2.32,0.091,2.5,0,0,21.9,46.5,31.3,0,410
0.0001,1623.15,59.5,0,13.2,8.2,14.4,2.62,0.04,2.76,0,0,42.2,24,34.7,0,470
0.0001,1623.15,59.6,0,14.9,6.8,13.6,3.1,0.017,2.61,0,0,43.9,21.8,33.9,0,600
0.0001,1623.15,59.1,0,16.5,3.2,16,3.2,0.007,2.3,0,0,50.7,11.2,38.3,0,800
0.0001,1624.15,51.4,0.38,10.9,11.2,15.2,10,0.332,0.23,0.06,0,19.9,51.2,30,0,650
0.0001,1625.15,51.5,0.35,10.53,11.2,17.19,9.33,0.467,0.12,0.02,0,20.9,48.1,31.7,0,810
0.0001,1626.15,51.5,0.34,10.47,9.4,17.65,9.32,0.554,0.08,0.01,0,36.7,26,36.6,0,1310
0.0001,1627.15,53.6,0.35,11,6.8,18.4,9.84,0.281,0.11,0.01,0,44.6,17.3,36.8,0,1400
0.0001,1636.15,50,0.346,10.6,11.4,16.6,9.37,0.416,0.14,0.03,0,14,56.4,30.4,0,620
0.0001,1637.15,49.6,0.347,10.64,11.9,17.2,8.81,0.345,0.15,0.02,0,25.9,41.1,33.3,0,1010
0.0001,1638.15,51.3,0.356,10.7,9.9,17.9,9.17,0.274,0.06,0.01,0,39.9,24.8,35.9,0,1450
0.0001,1639.15,55,0.367,11.15,3.87,18.64,9.9,0.168,0.09,0.02,0,47.5,17.7,34.4,0,1530
0.0001,1574.15,48.8,0,17.4,5.18,10.1,18.7,0,0,0,0,6.12,70.7,22.8,0,160
0.0001,1576.15,51,0,16.3,2.54,11.1,19.3,0,0,0,0,5.25,73.3,22.6,0,360
0.0001,1573.15,47.5,0,16.5,5.3,9.85,18.5,0,0,0,0,4.3,74.6,22.2,0,320
0.0001,1576.15,48.8,0,17.1,3.42,10.1,19,0,0,0,0,5.42,71.9,21.8,0,240
1,1873.15,48.5,0.36,6.1,14.3,20.9,6.9,0,0.54,0.04,0,61.15,0,33.26,0,5540
1.5,1873.15,47.7,0.37,5.8,15.5,21,6.5,0,0.5,0.03,0,61.9,0,33.9,0,5220
2,1873.15,47.8,0.35,6.3,14.7,21.2,6.8,0,0.61,0.04,0,61.2,0,33.4,0,4380
1,1873.15,50.9,0.4,6.02,15,18.4,6.96,0,0.47,0.05,0,62,0,36,0,4800
1.5,1873.15,49.5,0.38,6.2,13.4,20.6,7.5,0,0.45,0.03,0,62.1,0,36,0,4100
2,1873.15,49.8,0.52,5.8,17,19.6,6.6,0,0.53,0.03,0,62.8,0,35,0,3800
2.5,1873.15,48.9,0.47,7.1,17.1,17.2,7.63,0,0.6,0.05,0,62.8,0,34.9,0,3500
1,1873.15,46.5,0.65,10,16.4,9.23,12.9,0,1.78,0.17,0,62.1,0,35,0,5000
1,1873.15,47.5,0.63,9.9,12.1,11,15.6,0,1.78,0.18,0,62.5,0,37,0,4700
1.5,1873.15,45.6,0.5,10.9,17,9.3,13,0,1.65,0.15,0,62,0,36,0,4800
2,1873.15,45.3,0.51,10.59,16.4,9.6,13.5,0,1.69,0.16,0,61.7,0,36,0,4200
2.5,1873.15,45.9,0.49,10.6,15.8,9.9,13.89,0,1.64,0.16,0,61.9,0,36,0,3700
