0.00	1473.15	40.72	4.92	8.19	21.97	8.01	11.09	0.00	1.58	0.89	0.00	63.48	1.46	29.05	6.39	4605.00
0.00	1473.15	39.97	4.84	8.02	23.42	7.61	10.93	0.00	1.78	0.94	0.00	48.79	15.57	32.19	2.88	5136.00
1.50	1873.15	47.70	0.37	5.80	15.50	21.00	6.50	0.00	0.50	0.03	0.00	61.90	0.00	33.90	0.00	5220.00
2.00	1873.15	47.80	0.35	6.30	14.70	21.20	6.80	0.00	0.61	0.04	0.00	61.20	0.00	33.40	0.00	4380.00
1.00	1873.15	50.90	0.40	6.02	15.00	18.40	6.96	0.00	0.47	0.05	0.00	62.00	0.00	36.00	0.00	4800.00
1.00	1873.15	46.50	0.65	10.00	16.40	9.23	12.90	0.00	1.78	0.17	0.00	62.10	0.00	35.00	0.00	5000.00
1.00	1873.15	47.50	0.63	9.90	12.10	11.00	15.60	0.00	1.78	0.18	0.00	62.50	0.00	37.00	0.00	4700.00
1.50	1873.15	45.60	0.50	10.90	17.00	9.30	13.00	0.00	1.65	0.15	0.00	62.00	0.00	36.00	0.00	4800.00
2.00	1923.15	46.00	0.63	10.70	17.70	9.50	13.40	0.00	1.70	0.17	0.00	62.40	0.00	35.00	0.00	4600.00
2.00	1973.15	46.67	0.53	10.77	17.30	9.58	13.55	0.00	1.62	0.16	0.00	62.50	0.00	33.00	0.00	4800.00
1.00	1873.15	49.02	0.63	8.30	15.70	9.92	13.35	0.00	1.87	0.15	0.00	63.30	0.00	34.00	0.00	4700.00
1.50	1873.15	48.68	0.59	8.65	16.43	9.88	13.31	0.00	1.21	0.15	0.00	62.20	0.00	35.60	0.00	4900.00
1.50	1923.15	45.64	0.00	17.78	3.01	16.77	16.77	0.00	0.12	0.00	0.00	61.22	0.46	37.83	0.49	4672.98
1.50	1873.15	44.65	0.00	17.67	3.12	16.75	16.71	0.00	0.14	0.00	0.00	58.29	4.38	36.79	0.53	4692.94
8.00	2173.00	38.52	0.16	4.30	8.22	45.36	2.74	0.30	0.00	0.00	0.00	59.13	0.39	35.62	2.99	4626.00
11.00	2473.00	40.54	0.18	3.21	7.29	44.83	3.67	0.01	0.00	0.00	0.00	56.58	0.15	38.03	1.85	4897.00
