0.00	1673.15	67.70	0.00	15.00	1.86	4.60	10.10	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	960.00
0.00	1673.15	61.80	0.00	13.20	11.90	4.00	9.20	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1580.00
0.00	1673.15	64.90	0.00	13.80	7.50	4.10	9.70	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1106.00
0.00	1673.15	55.50	1.40	16.10	5.20	8.10	13.30	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1625.00
0.00	1673.15	55.30	1.40	16.90	3.70	8.70	13.50	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1683.00
0.00	1673.15	57.30	2.40	14.70	5.60	9.00	9.90	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1588.00
0.00	1673.15	58.60	2.50	16.00	2.60	9.90	10.20	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1639.00
0.00	1673.15	57.60	2.40	15.70	3.90	9.80	10.20	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1567.00
0.00	1673.15	55.90	0.00	16.30	5.50	12.00	9.70	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1576.00
0.00	1673.15	56.90	0.00	17.50	2.60	13.10	9.90	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1711.00
0.00	1673.15	55.90	0.00	17.40	3.70	12.80	9.90	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1528.00
0.00	1673.15	60.00	0.00	11.20	10.10	12.40	6.30	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1480.00
0.00	1673.15	59.70	0.00	11.10	9.90	12.20	6.20	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1477.00
0.00	1673.15	60.40	0.00	11.20	9.70	12.40	6.30	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1417.00
0.00	1673.15	62.90	0.00	11.60	5.70	12.70	6.60	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1374.00
0.00	1673.15	64.00	0.00	12.60	2.70	13.80	6.80	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1433.00
0.00	1673.15	60.40	0.00	11.20	9.60	12.40	6.30	0.00	0.00	0.00	0.00	63.53	0.00	36.47	0.00	1552.00
